!SESSION 2023-11-21 18:41:41.468 -----------------------------------------------
eclipse.buildId=2022.2
java.version=11.0.11
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_MY
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data C:\Users\arush\ece385_final_project\workspace

This is a continuation of log file C:\Users\arush\ece385_final_project\workspace\.metadata\.bak_0.log
Created Time: 2023-11-24 18:16:25.667

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.667
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.684
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0], Result: [null, {"gpio_usb_int_S_AXI": {"name": "gpio_usb_int",
"base": "0x40000000",
"high": "0x4000FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_keycode_S_AXI": {"name": "gpio_usb_keycode",
"base": "0x40010000",
"high": "0x4001FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"gpio_usb_rst_S_AXI": {"name": "gpio_usb_rst",
"base": "0x40020000",
"high": "0x4002FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"axi_uartlite_0_S_AXI": {"name": "axi_uartlite_0",
"base": "0x40600000",
"high": "0x4060FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_axi_intc_s_axi": {"name": "microblaze_0_axi_intc",
"base": "0x41200000",
"high": "0x4120FFFF",
"size": "65536",
"slaveintf": "s_axi",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"timer_usb_axi_S_AXI": {"name": "timer_usb_axi",
"base": "0x41C00000",
"high": "0x41C0FFFF",
"size": "65536",
"slaveintf": "S_AXI",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"spi_usb_AXI_LITE": {"name": "spi_usb",
"base": "0x44A00000",
"high": "0x44A0FFFF",
"size": "65536",
"slaveintf": "AXI_LITE",
"type": "REGISTER",
"flags": "3",
"segment": "",
"acctype": "",
"tz": "",
},
"microblaze_0_local_memory_dlmb_bram_if_cntlr_SLMB_Mem": {"name": "microblaze_0_local_memory_dlmb_bram_if_cntlr",
"base": "0x00000000",
"high": "0x0001FFFF",
"size": "131072",
"slaveintf": "SLMB",
"type": "MEMORY",
"flags": "7",
"segment": "Mem",
"acctype": "",
"tz": "",
},
}]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.699
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_ENABLED], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.699
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_ENABLED], Result: [null, 1]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.699
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.723
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_EVENT_COUNTERS], Result: [null, 5]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.723
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.732
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_LATENCY_COUNTERS], Result: [null, 1]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.732
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_COUNTER_WIDTH], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.746
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_DEBUG_COUNTER_WIDTH], Result: [null, 32]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.748
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_FREQ], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.748
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_FREQ], Result: [null, 100000000]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.748
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_CPU_CLK_FREQ_HZ], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.764
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_param_value C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa microblaze_0 C_CPU_CLK_FREQ_HZ], Result: [null, ]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.764
!MESSAGE XSCT Command: [::hsi::utils::get_cpu_nr -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.779
!MESSAGE XSCT command with result: [::hsi::utils::get_cpu_nr -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa], Result: [null, {"microblaze_0": {"bscan": "2",
"index": "0",
},
}]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.779
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.779
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Result: [null, {}]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.796
!MESSAGE XSCT Command: [::hsi::utils::get_all_register_data -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.796
!MESSAGE XSCT command with result: [::hsi::utils::get_all_register_data -json C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Result: [null, {"microblaze_0": {},
}]. Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.796
!MESSAGE XSCT Command: [::hsi::utils::get_connected_periphs C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Thread: Worker-81: Launching Debugger_final_project-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2023-11-24 18:16:25.810
!MESSAGE XSCT command with result: [::hsi::utils::get_connected_periphs C:/Users/arush/ece385_final_project/workspace/butterfly_test/export/butterfly_test/hw/mario_test.xsa mdm_1], Result: [null, microblaze_0]. Thread: Worker-81: Launching Debugger_final_project-GDB

